artist_name,track_name,release_date,genre,lyrics
Nina Simone,Feeling Good,1965,soul,"Birds flying high, you know how I feel Sun in the sky, you know how I feel Breeze driftin' on by, you know how I feel [Chorus] It's a new dawn, it's a new day It's a new life for me, yeah It's a new dawn, it's a new day It's a new life for me, ooh And I'm feeling good"
Donny Hathaway,A Song For You,1971,soul,"I've been so many places in my life and time I've sung a lot of songs I've made some bad rhymes I've acted out my life on stages With ten thousand people watching [Chorus] But we're alone now And I'm singing this song to you [Verse 2] I know your image of me Is what I hoped to be I treated you unkindly But darling, can't you see? There's no one more important to me Baby, can't you see through me?"
The Impressions,People Get Ready,1965,soul,"People get ready, there's a train a-comin' You don't need no baggage, you just get on board All you need is faith to hear the diesels hummin' Don't need no ticket, you just thank the Lord [Verse 2] So, people get ready for the train to Jordan Picking up passengers coast to coast Faith is the key, open the doors and board 'em There's hope for all among those loved the most"
Percy Sledge,When a Man Loves a Woman,1966,soul,"When a man loves a woman Can't keep his mind on nothin' else He'd change the world for the good thing he's found If she is bad, he can't see it She can do no wrong Turn his back on his best friend if he put her down When a man loves a woman He'll spend his very last dime Tryin' to hold on to what he needs He'd give up all his comforts And sleep out in the rain If she said that's the way It ought to be"
Smokey Robinson & The Miracles,The Tracks of My Tears,1965,soul,"People say I'm the life of the party 'Cause I tell a joke or two Although I might be laughing loud and hearty Deep inside I'm blue [Chorus] So take a good look at my face You'll see my smile looks out of place If you look closer, it's easy to trace The tracks of my tears I need you (need you) Need you (need you)"
Al Wilson,Show and Tell,1973,soul,"These are the eyes That never knew how to smile Till you came into my life (Do-do-do-do-do) And these are the arms That long to lock you inside Every day and every night (Do-do-do-do-do) [Pre-Chorus] Girl, and here is the soul Oh which you've taken control Can't you see, I'm tryin' to show love is right"
The Delfonics,Didn't I (Blow Your Mind This Time),1970,soul,"I gave my heart And soul to you, girl Didn't I do it, baby Didn't I do it, baby Gave you a love You never knew, girl, whoa Didn't I do it, baby Didn't I do it, baby I tried so many times And that's no lie It seems to make you laugh Each time I try Didn't I blow your mind this time Didn't I (Oh, baby) Didn't I blow your mind this time (Baby) Didn't I (Listen)"
Roberta Flack,Killing Me Softly With His Song,1973,soul,"Strummin' my pain with his fingers Singin' my life with his words Killing me softly with his song Killing me softly with his song Tellin' my whole life with his words Killing me softly with his song [Verse 1] I heard he sang a good song I heard he had a style And so I came to see him To listen for a while And there he was, this young boy A stranger to my eyes"
The Four Tops,Reach Out I'll Be There,1966,soul,"Now if you feel that you can't go on (Can't go on) Because all of your hope is gone (All your hope is gone) And your life is filled with much confusion (Much confusion) Until happiness is just an illusion (Happiness is just an illusion) And your world around is crumbling down, darlin' [Chorus] (Reach out) Come on, girl, reach on out for me (Reach out) Reach out for me Hah, I'll be there with a love that will shelter you I'll be there with a love that will see you through"
The Chi-Lites,Have You Seen Her,1971,soul,"One month ago today I was happy as a lark But now I go for walks To the movies, maybe to the park And have a seat on the same old bench To watch the children play, huh You know, tomorrow is their future But for me just another day They all gather around me They seem to know my name We laugh, tell a few jokes But it still doesn't ease my pain"
The Stylistics,You Make Me Feel Brand New,1974,soul,"My love I'll never find the words, my love To tell you how I feel, my love Mere words could not explain Precious love You held my life within your hands Created everything I am Taught me how to live again [Pre-Chorus: Russell Thompkins] Only you Cared when I needed a friend Believed in me through thick and thin This song is for you, filled with gratitude and love"
The Spinners,I'll Be Around,1972,soul,"This is our fork in the road Love's last episode There's nowhere to go, oh no You made your choice Now it's up to me To bow out gracefully Though you hold the key, but baby [Chorus] Whenever you call me, I'll be there Whenever you want me, I'll be there Whenever you need me, I'll be there I'll be around"
Ann Peebles,I Can't Stand the Rain,1973,soul,"I can't stand the rain Against my window Bringing back sweet memories [Verse 1] Hey, window pane Do you remember How sweet it used to be? When we was together Everything was so grand Now that we've parted There's just one sound That I just can't stand"
Teddy Pendergrass,Turn Off the Lights,1979,soul,"Turn off the lights and light a candle Tonight I'm in a romantic mood, yeah Let's take a shower, said a shower together, yes I'll wash your body and you'll wash mine, yeah Rub me down in some, some hot oils, baby And I'll do the same thing to you [Chorus] Just turn off the lights, come to me Girl, I wanna give you a special treat, you're so sweet Turn off the lights, let's get cozy See, you're the only one in the world that I need"
Earth Wind & Fire,September,1978,soul,"Do you remember The twenty-first night of September? Love was changin' the minds of pretenders While chasin' the clouds away Our hearts were ringin' In the key that our souls were singin' As we danced in the night, remember How the stars stole the night away, oh yeah [Chorus] Hey, hey, hey Ba-dee-ya Say, do you remember? Ba-dee-ya Dancin' in September Ba-dee-ya Never was a cloudy day"
Chaka Khan,I'm Every Woman,1978,soul,"Ooh, ooh, yeah Whatever you want Whatever you need Anything you want done, baby I'll do it naturally 'Cause I'm every woman (Every woman) It's all in me It's all in me Yeah [Chorus] I'm every woman It's all in me Anything you want done, baby I'll do it naturally I'm every woman It's all in me I can read your thoughts right now Every one, from A to Z Whoa, whoa, whoa Whoa (Oh), whoa (Oh), whoa"
Patti LaBelle,Lady Marmalade,1974,soul,"Woah, really? Sarah Dash, Nona Hendryx, ah Produced by Allen Toussaint Hey, yeah, hey Hey sister, go sister Soul sister, go sister Hey sister, go sister Soul sister, go sister [Verse 1: Patti LaBelle] He met Marmalade down in Old New Orleans Strutting her stuff on the street She said, ""Hello, hey, Joe"" (Come on) ""You wanna give it a go?"" (I don't know)"
The O'Jays,For the Love of Money,1973,soul,"Money, money, money, money, money Money, money, money, money, money Money, money, money, money, money Money, money, money, money, money Money, money, money, money, money Money, money, money, money, money [Verse 1] Some people got to have it, yeah Some people really need it, huh, listen to me y'all Do things, do things, do things, bad things with it Well You wanna do things, do things, do things, good things with it Yeah, uh-huh, talk about Cash money, money Talk about cash money, dollar bills, y'all, come on now Yeah, yeah, girl, yeah"
The Isley Brothers,That Lady,1973,soul,"Who's that lady? (Who's that lady?) Beautiful lady (Who's that lady?) Who's that lady? (Who's that lady?) That?real,?real, real fine?lady (A beautiful lady) I wish somebody?would introduce her to me [Verse] I didn't get a chance (I didn't get a chance) To ask her to dance (To ask her to dance) It was love at first sight (Love at first sight) I just saw her tonight (Saw her tonight) And I wish somebody would introduce her to me I like the way she danced in the dark And disappeared in the night And, oh, she stole my heart It was love at first sight"
Kool & The Gang,Summer Madness,1974,soul,"Summertime barbecues, driving thru the heat man I’m tryna stay cool, going in the ocean nah I’m bout to play pool, before being wise yo u got to play the fool I rather feel the heat … then driving the ac on, the mics right, flows tight, I’m bout throw this beat on Everybody out side, kids at the park & they enjoying the vibe, pulling up at the stop I know you see the ride I’m chillin up in Miami at the beach side"
Solomon Burke,Everybody Needs Somebody to Love,1964,soul,"We're so glad to see so many of you lovely people here tonight And we would especially like to welcome all the Representatives of Illinois' law enforcement community Who have chosen to join us here in The Palace Hotel Ballroom at this time We do sincerely hope you'll all enjoy the show And please remember people, that no matter who you are And what you do to live, thrive and survive"
Sly & The Family Stone,Family Affair,1971,soul,"It's a family affair It's a family affair It's a family affair It's a family affair [Verse 1] One child grows up to be Somebody that just loves to learn And another child grows up to be Somebody you'd just love to burn [Verse 2] Mom loves the both of them You see, it's in the blood Both kids are good to mom Blood's thicker than the mud"
The Staple Singers,I'll Take You There,1972,soul,"I know a place Uh, ain't nobody cryin' Ain't nobody worried, no Ain't no smilin' faces, mmm, no, no Lyin' to the races [Bridge] Help me, come on, come on Somebody help me now (I'll take you there) Help me, y'all (I'll take you there) Help me now (I'll take you there) Oh (I'll take you there) Oh, oh, mercy (I'll take you there) Oh, let me take you there (I'll take you there) Oh, oh, let me take you there (I'll take you there)"
Bobby Womack,Across 110th Street,1972,soul,"I was the third brother of five Doing whatever I had to do to survive I'm not saying what I did was alright Trying to break out of the ghetto was a day to day fight Been down so long, getting up didn't cross my mind But I knew there was a better way of life that I was just trying to find You don't know what you'll do until you're put under pressure 'Cross 110th Street is a hell of a tester"
Minnie Riperton,Lovin' You,1975,soul,"Lovin' you is easy 'cause you're beautiful Makin' love with you is all I wanna do Lovin' you is more than just a dream come true And everything that I do is out of lovin' you [Chorus] La la la la la, la la la la la La la la la la, la la la la la Do do do do do, ooh [Verse 2] No one else can make me feel The colors that you bring Stay with me while we grow old And we will live each day in springtime 'Cause lovin' you has made my life so beautiful And every day of my life is filled with lovin' you Lovin' you I see your soul come shinin' through And every time that we, ooh, I'm more in love with you"
Luther Vandross,Never Too Much,1981,soul,"I can't fool myself, I don't want nobody else to ever love me You are my shining star, my guiding light, my love fantasy There's not a minute, hour, day or night that I don't love you You're at the top of my list 'cause I'm always thinking of you I still remember in the days when I was scared to touch you How I spent my day dreaming planning how to say I love you You must have known that I had feelings deep enough to swim in That's when you opened up your heart and you told me to come in"
D'Angelo,Untitled (How Does It Feel),2000,soul,"Girl, it's all on you Have it your way And if you want, you can decide And if you'll have me I can provide everything that you desire If you get a feeling Feeling that I'm feeling Won't you come closer (Mm) to me, baby? (Hey) Girl, you already got me right where you want me, baby I, I just wanna be your man [Chorus] How does it feel? Yeah (Oh) How does it feel? Yeah, yeah (Said I wanna know, how does it feel?) How does it feel? Yeah (How?) How does it feel? Yeah (Yeah, oh)"
Erykah Badu,On & On,1997,soul,"Oh my, my, my, I'm feeling high My money's gone, I'm all alone Too much to see The world keeps turning Oh what a day, what a day, what a day Peace and blessings manifest with every lesson learned If your knowledge were your wealth, then it would be well-earned If we were made in His image, then call us by our names Most intellects do not believe in God but they fear us just the same"
Maxwell,Ascension (Don't Ever Wonder),1996,soul,"It happened the moment, when you were revealed 'Cause you were a dream that you should not have been A fantasy real You gave me this beating, baby This rhythm inside And you made me feel good and feel nice and feel loved Gave me paradise [Chorus] So shouldn't I realize You're the highest of the high If you don't know, then I'll say it So don't ever wonder (Don't ever wonder) So shouldn't I realize (Shouldn't I realize) You're the highest of the high If you don't know, then I'll say it So don't ever wonder"
Lauryn Hill,Ex-Factor,1998,soul,"It could all be so simple (Ba-ba-ba-baby, baby, baby) But you'd rather make it hard (Huh, uh) Loving you is like a battle (It's like a battle) And we both end up with scars [Pre-Chorus] Tell me who I have to be (Who I have to be) To get some reciprocity See, no one loves you more than me (More than me) And no one ever will (No one ever will, yeah)"
Jill Scott,A Long Walk,2000,soul,"You're here, I'm pleased, I really dig your company Your style, your smile, your peace mentality Lord, have mercy on me, I was blind, now I can see What a king's supposed to be; baby, I feel free Come on and go with me [Chorus] Let's take a long walk around the park after dark Find a spot for us to spark Conversation, verbal elation, stimulation Share our situation, temptation, education, relaxation Elevation, maybe we can talk about Surah"
Alicia Keys,Fallin',2001,soul,"I keep on fallin' in And outta love with you Sometimes I love ya, sometimes you make me blue Sometimes I feel good, at times I feel used Lovin' you, darlin', makes me so confused [Chorus] I keep on fallin' in and out Of love with you I never loved someone The way that I'm lovin' you"
Angie Stone,Wish I Didn't Miss You,2001,soul,"Same old story back again 'She's not a lover, she's just a friend' I'm sick and tired for you to blame on me Now you think it's funny Now you wanna spend your money on girls But you forgot when you were down that I was around Call my lover, hang up, call again What in the world is happening? Listen in, but don't yell at me Isn't it ironic? All you wanna do is smoke chronic Boy, you forgot when you were down who was around "
John Legend,Ordinary People,2004,soul,"Girl, I'm in love with you But this ain't the honeymoon We're past the infatuation phase We're right in the thick of love At times we get sick of love It seems like we argue every day I know I misbehaved And you've made your mistakes And we both still got room left to grow And though love sometimes hurts I still put you first And we'll make this thing work But I think we should take it slow"
Anthony Hamilton,Charlene,2004,soul,"Woke up this morning, found a letter that she wrote She said she's tired that I'm always on the road Too hard to swallow being alone She needs someone at night that she can hold She must have told me a thousand times or more Silent cries I used to ignore God knows I love her Didn't mean to hurt her"
Sharon Jones & The Dap-Kings,100 Days 100 Nights,2007,soul,"100 days, 100 nights, to know a man's heart 100 days, 100 nights, to know a man's heart And a little more, before, he knows his own [Verse 1] You know a man can play the part of a saint just so long For a day comes when his true, his true self unfolds, yes it does He maybe mellow, he maybe kind Treat you good, all the time But there's something just beyond what he's told"
Charles Bradley,The World (Is Going Up In Flames),2011,soul,"This world Is going up in flames And nobody Wanna take the blame Don’t tell me How to live my life When you Never felt the pain (ooo ooo ooo) [Chorus: Charles Bradley and Menahan Street Band] (uuuuuh) Come on babe (uuuuuh) They don’t hear me cryin' (uuuuuh) They don’t hear me tryin' (uuuuuh) They don’t hear me cryin' For what I gonna do, yeah baby"
Leon Bridges,Coming Home,2015,soul,"Baby, baby, baby I'm coming home To your tender sweet loving You're my one and only woman The world leaves a bitter taste in my mouth, girl You're the only one that I want [Chorus] I wanna be around I wanna be around, girl I wanna be around, girl You, I wanna be around"
Amy Winehouse,Back to Black,2006,soul,He left no time to regret Kept his dick wet With his same old safe bet Me and my head high And my tears dry Get on without my guy You went back to what you knew So far removed From all that we went through And I tread a troubled track My odds are stacked I'll go back to black 
Michael Kiwanuka,Cold Little Heart,2016,soul,"Did you ever want it? Did you want it bad? Ohhh, my It tears me apart Did you ever fight it? All of the pain So much pride Running through my veins Bleeding, I'm bleeding My cold little heart Oh I, I can't stand myself [Chorus] And I know In my heart, in this cold heart I can live or I can die I believe if I just try You believe in you and I In you and I In you and I In you and I"
Raphael Saadiq,100 Yard Dash,2008,soul,"Girl, I tried to run but couldn't get too far (Get too far) My heart is pumping but still running in place (Running in place) No matter how hard I try to ditch your touch (Ditch your touch) When you're away too long, oh girl, it's too much (Girl, it's too much) [Chorus] 'Cause every time I run I need you (Oh so fast) I'm running scared, my heart (Is beating so fast) I heard that you can make a man (Change his plan) That's why I'm running fast I'm running (The hundred yard dash) Uh-oh"
Macy Gray,I Try,1999,soul,"Games, changes and fears When will they go from here? When will they stop? I believe that fate has brought us here And we should be together, babe But we're not [Pre-Chorus] I play it off, but I'm dreaming of you And I'll keep my cool, but I'm feigning [Chorus] I try to say goodbye and I choke I try to walk away and I stumble Though I try to hide it, it's clear My world crumbles when you are not near Goodbye and I choke I try to walk away and I stumble Though I try to hide it, it's clear My world crumbles when you are not near"
Mary J. Blige,Real Love,1992,soul,"We are lovers through and through And though we made it through the storm I really want you to realize, I really want to put you on I've been searching for someone to satisfy my every need Won't you be my inspiration? Be the real love that I need [Chorus] Real love, I'm searching for a real love Someone to set my heart free Real love, I'm searching for a real love"
Lionel Richie,All Night Long (All Night),1983,soul,"Well, my friends, the time has come To raise the roof and have some fun Throw away the work to be done Let the music play on Everybody sing, everybody dance Lose yourself in wild romance [Pre-Chorus 1] We're going to party, Karamu, fiesta, forever Come on and sing along We're going to party, Karamu, fiesta, forever Come on and sing along "
Whitney Houston,Saving All My Love for You,1985,soul,"A few stolen moments is all that we shared You've got your family and they need you there Though I try to resist being last on your list But no other man's gonna do So I'm saving all my love for you [Verse 2] It's not very easy living all alone My friends try and tell me find a man of my own But each time I try, I just break down and cry 'Cause I'd rather be home feeling blue So I'm saving all my love for you"
The Pointer Sisters,Slow Hand,1981,soul,"As the midnight moon was driftin' through The lazy sway of the trees I saw the look in your eyes, looking into mine Seeing what you wanted to see Darlin', don't say a word, 'cause I already heard What your body's sayin' to mine I'm tired of fast moves, I've got a slow groove On my mind"
Odyssey,Inside Out,1982,soul,"When you're sitting on your own And you feel the city life surround you And she's always on the phone But you just don't think that you can fight it [Pre-Chorus] Don't give up, don't give up Don't give up (Don't give up) Don't give up, don't give up, darling, what you dream 'Cause like the words here in this song We'll go on and on and on with our love, yeah"
Donna Summer,Love to Love You Baby,1975,soul,"I love to love you, baby I love to love you, baby I love to love you, baby I love to love you, baby I love to love you, baby [Verse 1] When you're laying so close to me There's no place I'd rather you be Than with me [Chorus] I love to love you, baby (Oh, love to love ya) I love to love you, baby I love to love you, baby [Verse 2] Do it to me again and again You put me in such a awful spin In a spin, in-uh"
Commodores,Brick House,1977,soul,"Ow, she's a brick house She's mighty mighty, just letting it all hang out Ah, she's a brick house I like ladies stacked and that's a fact Ain't holding nothing back Ow, she's a brick house Well put together, everybody knows This is how the story goes [Verse 1] She knows she's got everything Mmm, that a woman needs to get a man, yeah, yeah How can she lose with the stuff she use? 36-24-36, ow, what a winning hand"
Ohio Players,Fire,1974,soul,"Hey, ha, uh-huh Hey, hey, hey, Lord (ow, gow) Hey, ha, uh-huh Hey, hey, hey, Lord (Fire) Fire (Uh, uh) Fire (Sing us home) (Oh Lord) Fire (woo, woo, woo, woo) Fire The way you walk and talk really sets me off To a four-alarm, child, yes it does, uh, uh The way you squeeze and tease knocks to me my knees 'Cause you're smokin', baby, baby The way you swerve and curve really wracks my nerves And I'm so excited, child (yeah) woo, woo The way you push, push lets me know that you're Ha ha ha ha ha ha ha, good (You're gonna get your wish) Oh, Lord, oh"
Parliament,Flash Light,1977,soul,"Now, I lay me down to sleep Ooh, I just can't find a beat Flash light (Oh, I will never dance!) Flash light Flash light Flash light Da da da dee da da da da da da da Oh, it's no use Flash light Red light Neon light Ooh, stop light Now I lay me down to sleep I guess I'll go count the sheep Oh, 'cause I will never dance Oh, don't make me do it Dance, sucker! Ooh ha ha Ow! Get him"
Lakeside,Fantastic Voyage,1980,soul,"Hey, come on, come along take a ride There's a party over there, that ain't no jive It's live, live, it's all the way live Don't even have to walk, don't even have to drive Just slide, glide, slippity-slide Just forget about your troubles and your 9 to 5 And just sail on (That's what you do), just sail on Now this groove's so funky, hey, what do you think? What is it called? Let's call it Lakeside stank"
Con Funk Shun,Ffun,1977,soul,"Yeah, yeah, well, well Well, well Well, well Well, well, well [Verse] I wanna thank you for your love so true Your tender lovin' keeps my mind on you I'll pick you up and we'll go out and dance You kiss my lips and we'll have fun, fun, fun Make it or break it, got to make you mine Kissin' and huggin' all the time You are my one and only under the sun Give me your hand and we'll have fun, fun, fun"
The Brothers Johnson,Strawberry Letter 23,1977,soul,"Ooh, ooh, ooh-ooh ooh Ooh, ooh, ooh-ooh ooh [Verse 1] Hello, my love, I heard a kiss from you Red magic satin playing near, too All through the morning rain I gaze, the sun doesn't shine Rainbows and waterfalls run through my mind In the garden, I see, west purple shower bells and tea Orange birds and river cousins dressed in green Pretty music, I hear, so happy and loud Blue flowers echo from a cherry cloud"
The Gap Band,Outstanding,1982,soul,"Outstanding Girl, you knock me out Exciting You make me wanna shout [Verse 1] Girl, you're lookin' sweeter now You're gettin' finer every day, girl I wish that I could love you right In a special way, girl [Pre-Chorus] You light my fire (You light my fire) I feel alive with you, baby (I feel alive) You blow my mind (You blow my mind) I'm satisfied (I'm satisfied)"
Heatwave,Always and Forever,1977,soul,"Always and forever Each moment with you, yeah Is just like a dream to me That somehow came true, yeah And I know tomorrow Will still be the same 'Cause we got a life of love That won't ever change and [Chorus] Every day, love me your own special way Melt all my heart away with a smile Take time to tell me you really care And we'll share tomorrow together (Always forever love you) Ooh, baby, I'll always love you forever (Always forever love you) Ever, ever, ever"
The Emotions,Best of My Love,1977,soul,"Doesn't take much to make me happy And make me smile with glee Never, never will I feel discouraged 'Cause our love's no mystery Demonstrating love and affection That you give so openly, yeah I like the way you make me feel about you, baby Want the whole wide world to see [Chorus] Whoa-whoa, you got the best of my love Whoa-whoa, you got the best of my love Whoa-whoa, you got the best of my love Whoa-whoa, you got the best of my love"
Atlantic Starr,Always,1987,soul,"Girl, you are to me All that a woman should be And I dedicate my life To you, always The love like yours is rare It must have been Sent from up above And I know you'll stay this way For always [Pre-Chorus: Wayne Lewis and Barbara Weathers, Barbara Weathers] And we both know That our love will grow And forever It will be You and me, hey"
Diana Ross,Upside Down,1980,soul,"I said upside down, you're turning me You're giving love instinctively 'Round and 'round, you're turning me [Chorus] Upside down Boy, you turn me inside out And 'round and 'round Upside down Boy, you turn me inside out And 'round and 'round [Verse 1] Instinctively, you give to me the love that I need I cherish the moments with you Respectfully, I say to thee I'm aware that you're cheating When no one makes me feel like you do"
Tina Turner,What's Love Got to Do with It,1984,soul,"You must understand, though the touch of your hand Makes my pulse react That it's only the thrill of boy meetin' girl Opposites attract [Pre-Chorus 1] It's physical Only logical You must try to ignore that it means more than that Oh [Chorus] What's love got to do, got to do with it? What's love but a second-hand emotion? What's love got to do, got to do with it? Who needs a heart when a heart can be broken?"
Chic,Good Times,1979,soul,"Good times These are the good times Leave your cares behind These are the good times Good times These are the good times Our new state of mind These are the good times [Verse 1] Happy days are here again The time is right for makin' friends Let's get together, how 'bout a quarter to ten? Come tomorrow, let's all do it again Boys will be boys, better let them have their toys Girls will be girls, cute ponytails and curls Must put an end to this stress and strife I think I want to live the sporting life"
Shalamar,I Can Make You Feel Good,1982,soul,"Are you the kind to put your heart on the line? Or one who stays out of reach? Cause unlike other guys I won't waste your time I just wanna practice what I preach Girl, love can be such a challenge A game where there can be two winners Unlike any sport It depends on the prize And knowing where the real thing lies To make a long story short"
DeBarge,Rhythm of the Night,1985,soul,"When it feels like the world is on your shoulders And all of the madness has got you going crazy It's time to get out, step out into the street Where all of the action is right there at your feet [Pre-Chorus: El DeBarge] Well, I know a place where we can dance the whole night away Underneath electric stars Just come with me and we can shake your blues right away You'll be doing fine when the music starts, oh"
Teena Marie,Lovergirl,1984,soul,"I'm just a sucker for your love, sucker for love (I'm just a sucker for love, sucker for love, sucker for love, baby) I'm just a sucker for your love, sucker for love (I'm just a sucker for love, sucker for love, sucker for your love, baby) [Verse 1: Rick] Well, you're a fine sexy little lady You like your candy very sweet You're a classy little dame, with sophisticated game And you know all of the best restaurants to eat, uh-huh"
Lionel Richie & Diana Ross,Endless Love,1981,soul,"My love There's only you in my life The only thing that's right My first love You're every breath that I take You're every step I make [Chorus] And I (I), I want to share All my love with you No one else will do And your eyes (Your eyes, your eyes) They tell me how much you care Oh, yes, you will always be My endless love"
Rufus & Chaka Khan,Tell Me Something Good,1974,soul,"You ain't got no kind of feeling inside I got something that'll sho nuff set yo' stuff on fire You refuse to put anything before your pride What I got will knock all your pride aside [Chorus] Tell me something good Tell me that you love me, yeah Tell me something good Tell me that you like it, yeah "
The SOS Band,Take Your Time (Do It Right),1980,soul,"Let's do it Let's do it Let's do it Let's do it Oo-ooh, baby Let's do it Take your time Let's do it Come on, baby Oo-ooh, baby Let's do it Take your time Let's do it [Verse 1] You know you ought to slow down You've been working too hard and that's a fact Sit back and relax a while Take some time to laugh and smile Lay your heavy load down So we can stop and kick back It seems we never take the time to do All the things we want to, yeah"
Zapp & Roger,More Bounce to the Ounce,1980,soul,"More bounce More bounce More bounce Much more bounce Bounce much more I like to bounce And I'm gonna make you bounce Much more bounce More bounce to the ounce (Much more bounce) More bounce to the ounce (Yeah) More bounce to the ounce (Much more) More bounce to the ounce (Work it with me, bounce)"
