artist_name,track_name,release_date,lyrics,genre,predicted_genre
a tribe called quest,clap your hands,1993,scratch clap hand brothers know flavs quest get loose slam sucker fuckers like wrestler crazier flick call juice cock longer wear seuss girl dukes like kid call duice get pay hoochie like main control like denzel girls wack nut like rocket squirrel worst thing world sucker favorite group world epmd forget originality go solo favorite phife dawg house shout snoopy peace questers hell groupies like malph potsie brooklyn dodger rerun stimpy hardy qtip phife mash party kick rhyme rhyme kick beat beat scratch head like shaheed technics wanna oppose stand shut shit clap hand wanna dance clap hand venture wrong road circumstance crucial hundreds rhyme suit listen abstract intuition feel russia jersey understand underground get deep nikes link jeeps women lingo goods peace hood shit play mute hear juke brothers know angle starspangled black banner hook beat funk manor want roll dough rake scope world cause take know gonna shit solid flow like fluid chemists confuse composition tribe addition swing miss shut bloodclot listen bringin rendition like send gotta rhythm style finesse come plat clap repeat bounce,pop,jazz
a tribe called quest,go ahead in the rain,1990,rain rain worry wanna ball freak freak lifeless venture yeah gotta grip like culture swoop swoop like vulture rhythms lurk people funk create equal lookin beat rupture like rapture gotta capture life scare funky prepare days grimness oppression aiyo lesson rain start pourin start reachin start soarin stop stallin rhythm savior hear callin instrumental freaky ahead rain mean fact mean devote arts movin butt think mean culture laws mean label sucka dumber stay dumber stay line groovin movin soothin little thing like rain thunder look wonder stomp soul lift rhythm inside groove nasty funky nasty crazy classy money list good time good cheer ride ride hide provide drop drop drop pant shake handy roll hair lowdown rhythm showdown simple explanation hotter thank wanna hear sayin clean ears come groove,pop,country
a tribe called quest,infamous date rape,1991,classic classic classic example date rape classic example date rape classic example date rape classic example date rape listen rhyme blackink fact percentile rate date rape reason skeezin right pickin wrong season wrong season mean gotta break especially squaw try rape vex cause goin wanna fight cause know wrong instead rest head couch envision head great bout opponent wanna bone kick say stick situation sticky kiss hint hickey vibe right leavin road offer abide drop load right smack middle kitten crazy tender vittles uhhuh know science buckwild runnin game skiles better magic malone regardless bone try start diss program start kiss point time waste break start talk nasty ready bone step shower throw cologne sudden sugarwalls tumble like jericho hotter meshach shadrach abendego listen break fool thing clock go round ding go round tell fuck suppose know meow complete girly girl cry rape need sweetheart goin like sweetheart goin like sweetheart goin like zulu goin like zulu goin like baby bust wanna groove spill milk hilt wanna bone unforbidden touch type fetch brand baby baby baby wanna rude know bloody attitude know usually happen respect crazily pad come check joint disrespect head better check classic example date,pop,pop
a-ha,living a boy's adventure tale,1985,fix dwell night light pair come pass hide need time leave loneliness lick wound night time help close eye time live adventure tale ways live adventure tale days live adventure tale escape want live adventure tale dream feel awake lose place seek face change weather rain pour head hand press grind suppose live adventure tale ways live adventure tale live adventure tale voice hear live adventure tale sing lullaby live adventure tale live adventure tale know true live adventure tale ways days ways,pop,blues
a. m. rajah,inbamae pongumae,1958,stand doubt know true tear understand state feel bless hold hand room heart unlock door open world away home life think eye search arm kiss wait lose word heart close beauty live know walk lonely watch lovers come fate find salvation soul,pop,country
abba,disillusion,1973,change move circle face dream smile laugh shadow hear voice know mean know matter hard reason life disillusion disillusion leave forget world break want disillusion disillusion wish hop chase shadow face crowd think wonder stop cry loud wind heal leave scar share disillusion disillusion leave forget world break want disillusion disillusion disillusion disillusion,pop,jazz
abba,i have a dream,1979,dream song sing help cope wonder fairy tale future fail believe angels good believe angels know time right cross stream dream dream fantasy help reality destination make push darkness mile believe angels good believe angels know time right cross stream dream cross stream dream dream song sing help cope wonder fairy tale future fail believe angels good believe angels know time right cross stream dream cross stream dream,pop,country
abc,poison arrow,1982,secret know foul situation girl think right combination break heart target blame cupid cupid think smart stupid stupid shoot poison arrow heart shoot poison arrow shoot poison arrow heart shoot poison arrow rhythm cymbals tempo drum arrival come come right target wide think spark sweetest unheard refrain lower sight yeah raise raise think love care care know break heart target blame cupid think smart stupid right start know shoot poison arrow heart shoot poison arrow shoot poison arrow heart heart heart shoot poison arrow heart shoot poison arrow shoot poison arrow,pop,pop
al b. sure!,naturally mine,1988,naturally naturally naturally naturally naturally tell baby love love hand understand girl love need naturally naturally naturally naturally hold arm tell baby treat treat know love start turn away break heart feel like cloud need want desire heart girl away yeah naturally naturally away baby naturally stay lady naturally leave tonight capture heart girl time care share need want desire heart girl need rest life naturally naturally away baby naturally stay lady fade,pop,jazz
al martino,i have but one heart,1991,heart heart bring heart share dream cling dream pray come true darling felt hear life live heart dicimo facimu amore curi curi passa mare parla carezza brezza murir live heart tell make heart heart till time whisper caress breeze till time,pop,country
al martino,i love you because,1963,understand dear single thing lend help hand dear matter world know doubt cause future brighter door happiness shall open wide matter world know thousand reason cause,pop,country
al martino,my cherie,1965,spend night rendezvous reminisce desire meet gypsies play cafe dance till break desire little glass wine gaze eye divine feel touch lips press hear whisper time desire,pop,jazz
alison moyet,is this love?,1984,fleet moment restless drive distraction capture game wonder want leave scatter hours speed choose forget want lips kiss limbs entwine body twist mind work idle hand shake thoughts plan tease viciously believe see intimately picture dream forsake fall tumble away live wonderland better choose forget want lips kiss limbs entwine body twist mind work idle hand shake thoughts plan tease viciously,pop,rock
alison moyet,weak in the presence of beauty,1984,long time know time like yesterday lovers pass leave tonight hold tight weak weak weak weak weak presence beauty friends ask quiet dont know think stop fall later home weak weak weak weak weak presence beauty cause leave tonight choice hold tight weak weak weak weak weak presence beauty weak darling weak theres doubt weak weak weak presence beauty weak youre world weak girl weak weak weak presence beauty,pop,pop
andy williams,"\"somewhere, my love (lara's theme from \"\"dr. zhivago\"\")\"",1967,daddy soldier foreign like talk keep picture mama right heart look fight start say forget cause war fight end hole airborne ranger infantry leave best friend lie pool blood crawl away brush choose lie face close eye forget sacrifice hole airborne ranger infantry vocal money fame world remember family country brothers die right forget cause war fight end boys hole honor souls memories airborne ranger infantry,pop,country
andy williams,danny boy,1961,pip pip call mountain summer go roses fall bide come summer meadow valley hush white snow come flower die dead dead place lie kneel hear soft tread grave warm sweeter shall bend tell sleep peace come,pop,country
andy williams,hawaiian wedding song,1991,moment wait hear heart sing soon bell ring moment sweet aloha longer forever promise leave dear dear promise leave longer forever cloud want light blue hawaii smile wed heart,pop,country
andy williams,love is a many-splendored thing,1962,manysplendored thing grow early spring nature give reason live golden crown make high morning mist lovers kiss world stand finger touch silent heart teach sing true manysplendored thing high morning mist lovers kiss world stand finger touch silent heart teach sing true manysplendored thing,pop,pop
andy williams,remember,1966,remember kind september life slow mellow remember kind september grass green grain yellow remember kind september young callow fellow remember remember followfollow ohoh remember life tender weep remember life tender dream keep pillow remember life tender ember billow remember remember followfollow ohoh deep december nice remember know snow follow deep december nice remember hurt heart hollow deep december nice remember september mellow deep december hearts remember follow,pop,rock
anne murray,could i have this dance,1994,remember song play time dance know sway music hold fell dance rest life partner night feel right dance rest life remember magic moment hold close know forever need dance rest life partner night feel right dance rest life dance rest life partner night feel right dance rest life,pop,country
annie lennox,cold,1992,come cold cold cold exist live cold cold cold possess give tenderness wrap ribbon glass time know pay things past die easy live scar death content hear sound breath yeah cold colour snowlight fall heavenly sky catch dive want swim pool eye want baby ohhhh slip inside heart belong baby know tear apart come come come tell love right start want things winter freeze hold cold cold cold shiver blue glitter cold cold cold cold colour snowlight fall heavenly sky catch dive want swim pool eye cold cold cold cold cold cold ohhhhhhh yeah,pop,blues
babes in toyland ,bruise violet,1992,thing make catch thing follow fuck bitch insides liar liar liar star eye lie stories twist thing follow bear glue instead spine liar liar liar tie thing follow thing make catch bruise bruise bruise thing follow thing make catch liar liar liar,pop,blues
babyface,you make me feel brand new,1986,word tell feel mere word explain precious hold life hand create teach live care need friend believe song fill gratitude bless feel brand bless feel brand sing song cause feel brand insecure build sure give pride precious friend friend depend walk path end life mean rhyme like note song time repay have,pop,pop
bad religion,change of ideas,1989,sheaves bring field wash away palaces stand coffin lay time ahead glaze hue wish admit lose millenia come modern sanctify future render fear theories prophecies need change ideas scar hide reveries need change ideas change ideas change ideas need change ideas,pop,pop
bad religion,generator,1992,like like planet like fuck atom bomb remain unperturbed madness encounter turn see book magazines like twitch die like pornographic window ugly laugh like hummingbird silence like blood door generator yeah yeah like blood door clean reach shore know like bone skin like actors photograph like paper wind hammer window knife floor like turbines darkness like blood door generator yeah yeah like blood door clean reach shore,pop,rock
bad religion,stranger than fiction,1994,febrile shock violent smack children hop heartattack tonight windows watch streets conspire lamppost stop cry high world bunch live dot spell word stupidity hungry lover homicides love brother suicides oxen free pick hide world scratch door morning paper score human stories obituary yeah cockroach nap rattle trap devil match head caringosity kill kerouac truth stranger fiction corner wino feather shoulder spirit give head crack want little family eat crackers like thanksgiving pack wild desperadoes scornful live world scratch door morning paper score human stories obituary yeah cradle wolfe look angels match want know hemingway crack truth stranger fiction life crummiest book read hook cheap shots picture shock character amateur dream truth stranger fiction,pop,jazz
badfinger,i don't mind,1970,bird sing doorbells ring answer people lovely outside mind live ride mind people lazy step inside begin know mind days nights alright easy break time make rhyme mind give step inside ride know mind,pop,jazz
badfinger,name of the game,1971,railway master look say faster think say care fact protest different lock feel comfort dear brother tell know painful world place long await mother time baby breast pass test sin confess refuse choose follow shame confuse know game pillow look say clearly things burn sacred battle different lock feel away refuse choose follow shame confuse know game refuse choose follow shame confuse know game,pop,rock
badfinger,suitcase,1971,suitcase suitcase follow round bootlace bootlace money yeah golden crown inside game play long driver driver fast miser miser pusher pusher inside game play long sorry leave sorry leave today sorry leave sorry leave today driver driver fast miser miser butcher butcher inside game play long long long long long long long long long long yeah long long long long yeah long long long long yeah long long long long yeah long long,pop,country
badfinger,walk out in the rain,1970,walk rain cloud hide pain baby thousand tear give rain away lonely room stay world know hurt away live life pretend couldn care cope live life relive precious time know pain feel good walk rain cloud hide pain baby thousand tear give rain away lonely room stay world know hurt change mind know baby sorrow pain walk rain,pop,pop
barbara lewis,don't forget about me,1966,baby know right tell road prayer know want stay fear haunt free choose life lose forget baby forget today borrow minute tomorrow cause sorrow forget baby forget someday paths cross maybe kind lose know forget baby forget baby forget baby forget baby,pop,pop
barenaked ladies,be my yoko ono,1992,live shove follow whoaoh beautiful people barenaked virgins hand hand hand hand glove away pain hang ankle like kind ball chain like follow whoaoh life sing know step pin needle like people slag break beatles blame yokey mean gladly music genius personal follow whoaoh whoaoh,pop,pop
beck,devils haircut,1996,wrong cause mind fade look dead wait temperature drop rotten oasis steal kiss leperous face head hang garbage tree mouthwash jukebox gasoline pistols point poor pocket smile eye rip sockets devil haircut mind devil haircut mind devil haircut mind devil haircut mind machine sympathy crutches discount orgies dropout bus hitch ride bleed nose come brief blue devil haircut mind devil haircut mind devil haircut mind devil haircut mind wrong cause mind fade ghettoblasting disintegrate roll know say look devil wait devil haircut mind devil haircut mind devil haircut mind devil haircut mind devil haircut mind devil haircut mind devil haircut mind,pop,hip hop
belinda carlisle,leave a light on,1989,hand tell feel understand begin make feel like cry know darling leave light close door need darling leave light cause world take away breathe explain know darling leave light know ask crazy tire wait lose tear desire regret life darling leave light close door need darling leave light cause world take away breathe explain know darling leave light like spark light dark baby heart baby heart baby heart darling leave light close door need darling leave light cause world take away breathe darling leave light close door need darling leave light,pop,pop
belinda carlisle,vision of you,1989,time move summer wind face tragedy smoke clear picture fade stay yesterday strangers come know touch feel like touch get kiss move inside place leave hide tell vision tell vision walk darling know mean touch feel like touch get kiss move inside place leave hide tell vision tell vision vision candle burn bright cast life blind light touch feel like touch get kiss move inside place leave hide tell vision tell vision vision vision vision vision,pop,pop
ben e. king,come closer to me,1961,bésame bésame mucho time cling kiss hear music divine bésame mucho hold darling arm enfold know thrill think hold close whisper dearest leave little dream wing life bésame mucho forever dream come true,pop,jazz
ben e. king,here comes the night,1962,come night star shin night darling come night thrill kiss music fill night magic think moments hours hours apart moments hours keep bring shower tear heart come night like tonight divine think moments hours hours apart moments hours keep bring shower tear heart come night like tonight divine come night,pop,jazz
betty everett,the shoop shoop song (it's in his kiss),1993,wanna know tell love eye deceive eye believe wanna know love kiss yeah face charm embrace wanna know love kiss kiss kiss squeeze tight wanna know kiss bout act listenin wanna know love kiss yeah kiss whoa kiss squeeze tight wanna know kiss bout act listenin wanna know love kiss yeah kiss kiss,pop,pop
big black,bad penny,1987,ought know liar ought know curse nature bless wrong come come know couldn trust throw throw couldn throw couldn throw think fuck girlfriend maybe twice remember fuck friends girlfriends hate ought know liar ought know ought know liar ought know ought know couldn trust throw throw slap hand,pop,rock
bill haley & his comets,come rock with me,1956,come gang arock vive roll boulevard agay paris vive roll rockin rockin brother brother rockin right bank rockin leave bank night long night long rock rock sister sister rockin right bank rockin leave bank vive vive company paris vive vive marcherie vive roll dance dance vous plaît vous plaît look brother clock night night rock rock go go rockin right bank rockin leave bank night long night long vive vive company paris vive vive marcherie vive roll vive vive company paris vive vive marcherie vive roll vive vive company paris vive vive marcherie vive roll vive roll vive roll vive roll vive roll,pop,jazz
billy j. kramer,trains and boats and planes,1991,train bloat plan pass mean paris rome train boat plan take away away high wish wish dream come true train boat plan take away away world awhile say soon return wait like promise wait ohohtrains boat plan take away time pray prayer cross train boat plan bring home whoaoh mmmmmmmmmmmmmmm mmmmmmmmmmmm mmmmmmmmmmmmmmm mmmmmmmmm train boat plan bring home whoa whoa mmmmmmmmmmmmmmm mmmmmmmmmmmm mmmmmmmmmmmmmmm mmmmmmmmm,pop,jazz
billy joe royal,i'll pin a note on your pillow,1987,work know long stop try time touch pass yesterday matter leave mind baby right dream dream come true time tomorrow lie note pillow notice go wish like long body cry hold time hold time right sleep heart change mind leave mind baby right dream dream come true time tomorrow lie note pillow notice go go note pillow notice go leave mind baby right dream dream come true time tomorrow lie note pillow notice go,pop,pop
billy vaughn,miss you,1957,break heart hard cause wooden heart goodbye know maybe cause wooden heart string start treat nice treat good treat like cause wooden heart muss denn muss denn stadtele hinaus stadtele hinaus mein schat bleibst hier string start wirklich sollst wirklich sollst cause wooden heart,pop,rock
björk,i miss you,1995,miss special hasn happen gorgeous remember hasn happen believe dream important dream come true meet peak hasn happen give best souvenir miss know habit wouldn recognize believe dream important dream come true miss impatient stand cuddle know arrive time stop wait miss,pop,country
blondie,accidents never happen,1979,believe luck believe circumstance accidents happen perfect world believe luck walk dark slip footsteps catch turn round block meet smaller world accidents happen plan precognition ears accidents happen perfect world complications disappear yeah tell lie cry know like magi divinate presence afar follow bring perfect world accidents happen perfect world accidents happen accidents happen perfect world accidents happen,pop,rock
blondie,island of lost souls,1982,babylon boulevard break dream power lowest buccaneer help truck gear away save soul want away go right come sand island island lose souls luxuries amenities dull sense primitive away say tire wait away blue warm clear golden sand call invite come come friend forget work start real luxuries amenities dull sense primitive away island lose souls ayyou ayyou ayyou island lose souls,pop,pop
"blood, sweat & tears",and when i die,1968,scar die care peace die time near peace die die time near bundle coffin cause cold hear cold yeah crazy cold go child bear world instrumental trouble deep swear heaven pray hell swear heaven pray hell know livin dyin tell dyin tell yeah dyin tell instrumental freedom long livin chain livin chain dyin naturally wanna naturally come devil right look children come come wanna devil wanna demon wanna satan wanna uneasy naturally dead dead go child bear world outro,pop,jazz
"blood, sweat & tears",you've made me so very happy,1959,lose close door say child choose havin treat kind lose mind come life untrue come lovin spend life cause come take control touch soul lovin thank baby yeah yeah dream hear baby hear call want thank baby thank baby come life mmmm want thank girl life wanna thank wanna spend life thank thank baby thank baby thank baby thank baby,pop,blues
bob dylan,don't fall apart on me tonight,1983,minute fore leave girl minute fore touch door try achieve girl think talk know streets fill vipers lose know safe palace pope fall apart tonight think handle fall apart tonight yesterday memory tomorrow suppose need yeah come girl chair goin girl place open thousand away wish doctor maybe save life lose maybe good world instead burn bridge cross fall apart tonight think handle fall apart tonight yesterday memory tomorrow suppose need yeah good conversation girl know exactly feel bring mountain girl build house stainless steel like stick inside paint ahanging louvre throat start tickle nose itch know fall apart tonight think handle fall apart tonight yesterday go past live tomorrow step need people walk know fight humorless smile easy tell wrong right remember street blow mind fine gable fell feet lay life line beneath surface waste girl booby trap bomb decadence charm affection misplace girl mudcake creatures lie arm millionaire drumsticks pant look baffle bewilder play dance fall apart tonight think handle fall apart tonight yesterday memory tomorrow suppose need yeah need,pop,country
bob dylan,gotta travel on,1970,lay stay long summer go winter come lay stay long like travel like travel papa write come home come home come home papa write come home road long lay stay long like travel like travel silly wind soon begin go home stay go home stay silly wind soon begin feel like want travel lay stay long like travel like travel lonesome freight come homward bind homeward bind lonesome freight come feel like want travel lay stay long like travel like travel,pop,country
bob dylan,"if you gotta go, go now (or else you got to stay all night)",1965,listen baby want want gotta right gotta gotta stay night question kind quiz watch askin time gotta right gotta gotta stay night poor girl baby try connect certainly want thinkin respect gotta right gotta gotta stay night want give sleep soon dark door gotta right gotta gotta stay night,pop,pop
bob dylan,knockin' on heaven's door,1973,mama badge anymore gettin dark dark feel like knockin heaven door knock knock knockin heaven door lyric commercial,pop,rock
bob dylan,most of the time,1989,time clear focus time feet grind follow path read sign stay right road unwind handle stumble notice go time time understand time wouldn change match hold deal situation right bone survive endure think time time head straight time strong hate build illusion till make sick afraid confusion matter smile face mankind remember lips felt like time time mind wouldn know time sure time halfway content time know exactly go cheat hide hide feel bury inside compromise pretend care time,pop,rock
bob dylan,only a pawn in their game,1964,bullet bush take medgar evers blood finger fire trigger handle dark hand spark eye take brain blame pawn game south politician preach poor white black complain better bear white skin explain negro plain politician gain rise fame poor white remain caboose train blame pawn game deputy sheriffs soldier governors pay marshal cop poor white hand like tool teach school start rule laws protect white skin hate think straight bout shape blame pawn game poverty shack look crack track hoof beat pound brain teach walk pack shoot fist clinch hang lynch hide neath hood kill pain like chain agot blame pawn game today medgar evers bury bullet catch lower shadowy set fire grave stone remain carve epitaph plain pawn game,pop,hip hop
bob dylan,ring them bells,1989,ring bell heathen city dream ring bell sanctuaries cross valleys stream deep wide world time run backwards ring bell wind blow ring bell iron hand people know rush hour wheel plow go sacred ring bell sweet poor ring bell world know asleep willows weep mountains fill lose sheep ring bell blind deaf ring bell leave ring bell choose judge game ring bell time fly child cry innocence die ring bell room ring fortress lilies bloom line long fight strong break distance right wrong,pop,country
bob dylan,she belongs to me,1965,need artist look need artist look dark nighttime paint daytime black start stand proud steal see start stand proud steal see wind peek keyhole knees stumble place fall stumble place fall child touch wear egyptian ring sparkle speak wear egyptian ring sparkle speak hypnotist collector walk antique sunday salute birthday come sunday salute birthday come halloween trumpet christmas drum,pop,country
bob dylan,when you gonna wake up,1979,promise dream baby order dream gotta asleep go go go strengthen things remain counterfeit philosophies pollute thoughts marx throat kissinger tie knot go go go strengthen things remain innocent jail insane asylums fill unrighteous doctor deal drug cure ills go go go strengthen things remain hold peace women control tongue seduce poor seduce young go go go strengthen things remain adulterers church pornography school gangsters power lawbreakers make rule go go go strengthen things remain spiritual advisors gurus guide instant inner peace step approve go go go strengthen things remain wonder require think errand satisfy wander desire go go go strengthen things remain know worthless sell tell time money life weight gold go go go strengthen things remain cross crucify beleive power go go go strengthen things remain,pop,blues
bobby darin,always,1962,lovin true things plan need help hand understand days fair hour year year lovin true things plan need help hand understand days fair hour year,pop,country
bobby darin,christmas auld land syne,1960,mistletoe tinsel glow paint yuletide home know christmas auld lang syne gather round tree voice combine sweet accord thank lord christmas auld lang syne sleigh bell ring choir sing children face shine share christmas auld lang syne sing praise days pray year time near share cheer christmas auld lang syne sweet accord thank lord christmas auld lang syne,pop,pop
bobby darin,i'll remember april,1959,lovely lengthen even sigh goodbye walk remember content love lips warm spring afraid autumn sorrow remember dwindle glow ash flame live little forget lonely remember smile,pop,jazz
bobby darin,just friends,1961,friends lovers friends like think kiss like pretend end friends drift apart friends break heart love laugh cry suddenly die story end friends friends drift friends break heart love laugh cry suddenly die story end friends,pop,jazz
bobby darin,talk to me something,1958,talk understand talk understand talk sweetly long year completely talk hold hand talk whisper talk whisper talk hold hand talk word long hear,pop,blues
bobby vee,devil or angel,1960,devil mind like devil dear whichever miss miss miiiss devil miiine leave mind devil dear whichever need need need look like smile divine guessin devil miiine leave mind devil dear whichever looove devil miiine leave mind devil dear whichever,pop,pop
bobby vee,mister sandman,1961,sandman bring dream bung bung bung bung cutest see bung bung bung bung lips like roses clover bung bung bung bung tell lonesome nights sandman turn magic beam sandman bring dream bung bung bung bung sandman bring dream cutest see word rover tell lonesome nights sandman turn magic beam sandman bring dream bung bung bung bung sandman male voice yesss bring dream pair eye comehither gleam lonely heart like pagliacci lot wavy hair like liberace sandman hold hold peachy turn magic beam sandman bring sandman bring dream bung bung bung bung,pop,rock
bobby vinton,blue on blue,1962,blue blue heartache heartache blue blue blue blue heartache heartache lose walk street walk lovers pass pass cause tree bare sadness blue blue blue heartache heartache blue blue blue blue heartache heartache lose night lonely night meet dream open arm open arm close veil tear vision disappear blue blue blue heartache heartache blue blue blue blue heartache heartache lose blue blue heartache heartache blue blue blue blue,pop,country
bobby vinton,blue velvet,1954,blue wear blue bluer night softer satin light star wear blue bluer eye warmer tender sigh hold tightly feel rapture grow like flame burn brightly leave go glow blue heart precious warm memory years blue tear wear blue heart precious warm memory years blue tear blue,pop,country
bobby vinton,i love how you love me,1962,eye close kiss away miss treat tenderly darlin heart beat hold think tell touch heavenly darlin touch heavenly darlin squeeze tease,pop,country
bobby vinton,over and over,1962,life live truly lifetime long need time,pop,country
bobby vinton,roses are red (my love),1962,roses dudududu long long time graduation hand book sign roses violets blue sugar sweet sweet date high school come write book roses violets blue sugar sweet sweet go away read letter dear write roses violets blue sugar sweet luck bless little girl look like someday write book roses violets blue sugar sweet sweet roses violets blue sugar sweet sweet,pop,country
bobby vinton,unchained melody,1964,darling hunger touch long lonely time time go slowly time need need speed lonely rivers flow open arm lonely rivers sigh come home darling hunger touch long lonely time time go slowly time need need speed,pop,country
bodeans,good things,1991,sunlight fall field sunlight fall work yeahyeah word simple word clear feel heart beat near yeahyeah haunt feel pass haunt eye pass pass good things yeah good things attention time away heart today color black white heart tonight haunt feel pass haunt eye pass pass good things yeah good things haunt eye pass pass good things yeah good things,pop,rock
bodeans,still the night,1986,hold tonight hold tonight hold tonight hold tonight hold tonight hold tonight like dance like paint lips wouldn slip thing need company hold tonight hold tonight hold tonight need wine need stuff cause fine close tastin night end close curtain tight pretend night hold tonight hold tonight hold tonight burnin deep eye hypnotize like dance like paint lips wouldn slip night close curtain tight pretend night hold tonight hold tonight hold tonight,pop,pop
bonnie raitt,what is success,1974,decide methods jive truly believe try live hop someday winners change mind jump fence dial sign thing thing necessary live hop someday winners know tell success thing join rest truly believe live hop someday winners oooh tell sweet success oooh tell sweet success,pop,pop
boz scaggs,another day (another letter),1969,letter bring closer walk river need satisfy unto bring trust footstep doubt remove follow follow pretend need prove replace lose worry live hearts iron stone arm trust footstep doubt remove follow follow pretend need prove letter bring closer,pop,rock
boz scaggs,love me tomorrow,1976,know eye night know alibi dejon wrong say till time tomorrow tomorrow tomorrow tomorrow sort play line better know mind dejon wrong say till time tomorrow tomorrow forget sorrow tomorrow dejon wrong say till time tomorrow tomorrow forget sorrow tomorrow,pop,country
brandy,brokenhearted,1994,brokenhearted young wise know fall overnight yeah think take time right soon close eye say goodbye guess lonely brokenhearted life start lonely brokenhearted hurt thing conversations time totally sure yeah want pain fall poor heart endure listen advice remember time guess lonely brokenhearted life start lonely brokenhearted hurt thing lonely brokenhearted life start lonely brokenhearted hurt thing start lonely brokenhearted listen advice remember time lonely brokenhearted life start lonely brokenhearted hurt thing lonely brokenhearted life start start lonely brokenhearted hurt thing start lonely brokenhearted life start lonely brokenhearted hurt thing brokenhearted,pop,rock
bread,she was my lady,1971,hear child woman lady dependin come fill life keep best behavior lord savior sanctuary place help things weigh know love queen lover,pop,country
bread,welcome to the music,1972,welcome music welcome guitar know gonna gonna best help think gonna need band lately playin travelin jet cars smilin people lookin roll star tell carnegie better honky tonk bar true music soothe savage beast like relax back cause beastly play talkin gonna speak play funky hear symphony gonna play touch dial come stay awhile,pop,jazz
brenda lee,baby face,1959,baby face cutest little baby face place baby face heart poor heart thumpin sure start somethin baby face heaven fond embrace need shove pretty baby face yeah baby face cut baby face heaven,pop,pop
